D,2018-09-18,10:54:12.74,00:00:03.10,HA,3D6.00184CBABB,4,9,2
D,2018-09-18,10:54:22.05,00:00:01.02,HA,3D6.00184CBABB,2,5,2
D,2018-09-18,10:54:26.17,00:00:00.00,HA,3D6.00184CBAB6,1,2,2
D,2018-09-18,10:55:33.34,00:00:03.10,HA,3D6.00184CBAB6,4,64,2
D,2018-09-18,10:56:06.40,00:00:00.00,HA,3D6.00184CBAB6,1,28,2
D,2018-09-18,10:56:40.49,00:00:00.00,HA,3D6.00184CBAB6,1,32,2
D,2018-09-18,10:57:52.82,00:00:00.00,HA,3D6.00184CBABB,1,69,2
D,2018-09-18,10:57:55.92,00:00:00.00,HA,3D6.00184CBABB,1,2,2
D,2018-09-18,10:58:22.78,00:00:00.00,HA,3D6.00184CBABB,1,25,2
D,2018-09-18,10:59:34.07,00:00:00.00,HA,3D6.00184CBABB,1,68,2
D,2018-09-18,10:59:43.37,00:00:00.00,HA,3D6.00184CBABB,1,8,2
D,2018-09-18,11:00:12.30,00:00:03.11,HA,3D6.00184CBAB6,4,27,2
D,2018-09-18,11:00:51.57,00:00:00.00,HA,3D6.00184CBAB6,1,34,2
D,2018-09-18,11:01:48.39,00:00:00.00,HA,3D6.00184CBAB6,1,54,2
D,2018-09-18,11:04:37.83,00:00:01.04,HA,3D6.00184CBAB6,2,163,2
D,2018-09-18,11:06:17.03,00:00:00.00,HA,3D6.00184CBAB6,1,94,2
D,2018-09-18,11:06:21.15,00:00:00.00,HA,3D6.00184CBAB6,1,3,2
D,2018-09-18,11:06:37.68,00:00:03.10,HA,3D6.00184CBAB6,4,15,2
D,2018-09-18,11:06:49.05,00:00:04.14,HA,3D6.00184CBAB6,5,7,2
D,2018-09-18,11:07:29.35,00:00:00.00,HA,3D6.00184CBAB6,1,34,2
D,2018-09-18,11:08:43.73,00:00:03.10,HA,3D6.00184CBAB6,4,71,2
D,2018-09-18,11:08:53.04,00:00:00.00,HA,3D6.00184CBABB,1,5,2
D,2018-09-18,11:09:03.38,00:00:00.00,HA,3D6.00184CBA98,1,9,2
D,2018-09-18,11:09:06.48,00:00:03.10,HA,3D6.00184CBABB,4,2,2
D,2018-09-18,11:09:15.78,00:00:01.03,HA,3D6.00184CBABB,2,5,2
D,2018-09-18,11:09:40.58,00:00:00.00,HA,3D6.00184CB942,1,22,2
D,2018-09-18,11:09:41.61,00:00:00.00,HA,3D6.00184CBAB6,1,0,2
D,2018-09-18,11:09:42.64,00:00:00.00,HA,3D6.00184CB942,1,0,2
D,2018-09-18,11:09:48.84,00:00:00.00,HA,3D6.00184CB942,1,5,2
D,2018-09-18,11:09:59.18,00:00:01.03,HA,3D6.00184CBAB6,2,9,2
D,2018-09-18,11:10:15.71,00:00:00.00,HA,3D6.00184CBAB6,1,14,2
D,2018-09-18,11:10:33.28,00:00:05.17,HA,3D6.00184CBAB6,6,16,2
D,2018-09-18,11:12:15.57,00:00:00.00,HA,3D6.00184CBABB,1,93,2
D,2018-09-18,11:12:23.83,00:00:00.00,HA,3D6.00184CBABB,1,7,2
D,2018-09-18,11:12:34.17,00:00:11.37,HA,3D6.00184CBABB,12,9,2
D,2018-09-18,11:14:03.04,00:00:00.00,HA,3D6.00184CBABB,1,74,2
D,2018-09-18,11:14:04.06,00:00:00.00,HA,3D6.00184CBA98,1,0,2
